b2d	deb
diOlatem	métalloïde
diOlatep	pétaloïde
diOlbat	tabloïd
diOlits	styloïde
diOlkis	cycloïde
diOlkisOpi	hypocycloïde
diOlkisipe	épicycloïde
diOlpa	haploïde
diOlpaRtet	tétraploïde
diOlpiRt	triploïde
diOlpid	diploïde
diOlpilOp	polyploïde
diOlykREbyt	tuberculoïde
diOlyllEs	celluloïd
diOmazes	sésamoïde
diOmgis	sigmoïde
diOnOk	conoïde
diOnaRap	paranoïde
diOnag	ganoïde
diOnamy	humanoïde
diOneda	adénoïde
diOnefs	sphénoïde
diOnelOs	solénoïde
diOnelg	glénoïde
diOnetiRa	aryténoïde
diOniRk	crinoïde
diOnimO	hominoïde
diOnimybla	albuminoïde
diOniskav	vaccinoïde
diOnkaRa	arachnoïde
diOnpi	hypnoïde
diOpORt~a	anthropoïde
diOpi	hypoïde
diOpil	lipoïde
diOspillE	ellipsoïde
diOtamyR	rhumatoïde
diOtapsdl2f	feldspathoïde
diOtenalp	planétoïde
diOtinaRg	granitoïde
diOtl2d	deltoïde
diOtsam	mastoïde
diOtsiS	schistoïde
diOt~ala	allantoïde
diOt~odO	odontoïde
diOvO	ovoïde
diOz	zoïde
diOzORet~a	anthérozoïde
diOzOnOg	gonozoïde
diOzOtamREps	spermatozoïde
diOzepaRt	trapézoïde
diOziks	schizoïde
diOzynis	sinusoïde
diR	ride
diROt	torride
diRRub	bourride
diRa	aride
diRaim2s	semi-aride
diRaka	acaride
diRakas	saccharides
diRakasilOp	polysaccharide
diRakazid	disaccharide
diRakazonOm	monosaccharide
diRaksa	ascaride
diRat~ak	cantharide
diRb	bride
diRb2nRut	tournebride
diRbed	débride
diRbi	hybride
diRdi~a	anhydride
diRed	déride
diRejp	piéride
diRellEts	stelléride
diRemO	homéride
diRemefe	éphéméride
diResilg	glycéride
diResilgiRt	triglycéride
diRets	stéride
diRetsa	astéride
diRit~a	antirides
diRot	taurides
diRtapa	apatride
diRtyp	putride
diRtypit~a	antiputride
diSaRa	arachide
diZREnis	synergide
diZREsil	lysergide
diZRyt	turgide
diZe	égide
diZiR	rigide
diZiROSisp	psychorigide
diZiRf	frigide
diZiRim2s	semi-rigide
diZla	algide
diaZdum	moudjahid
dib	bide
dibROm	morbide
dibRyt	turbide
didROs	sordide
did~ak	candide
did~alps	splendide
dieRen	néréide
dieRy	uréide
dieSaRt	trachéide
diedla	aldéhyde
diedlamROf	formaldéhyde
diedlatem	métaldéhyde
diedlatesa	acétaldéhyde
diefes	céphéide
dielkifO	ophicléide
dienaRa	aranéides
dies	séide
diesREp	perséides
dietORp	protéide
difREp	perfide
difiRdak	quadrifide
difiRt	trifide
difib	bifide
difimlap	palmifide
difitamlap	palmatifide
diflis	sylphide
dig	guide
digelet	téléguide
dig~al	languide
dig~on2t	tenon-guide
dikil	liquide
dilORkam	macrolide
dilOb	bolide
dilOs	solide
dilOs~ok	consolide
dilOs~ok2R	reconsolide
dilasiRk	chrysalide
dilaskO	oxalide
dilav	valide
dilav~e	invalide
dile	élide
dilefe	éphélide
dilesORkam	macroscélide
dilifis	syphilide
dilina	anilide
dilit~a	anthyllide
dilype	épulide
dimOdilat	thalidomide
dima	amide
dimaRa	aramide
dimaRip	pyramide
dimaflys	sulfamide
dimagREsil	lysergamide
dimaid	diamide
dimailOp	polyamide
dimalep	pélamide
dimanais	cyanamide
dimatesa	acétamide
dimenk	cnémide
dimezoRyf	furosémide
dimit	timide
dimit~e	intimide
dimy	humide
dimyn	numide
din	nid
dinOda	adonide
